Flight_Number,Flight_Date,Origin,Destination,Route,Aircraft_Type,Aircraft_Capacity,Passengers,Load_Factor,Flight_Hours,Season,Route_Category,Demand_Level,Ticket_Revenue,Ancillary_Revenue,Total_Revenue,Fuel_Cost,Maintenance_Cost,Crew_Cost,Depreciation_Cost,Insurance_Cost,Airport_Fees,Catering_Cost,Handling_Cost,Navigation_Fees,Sales_Distribution_Cost,Passenger_Service_Cost,Overhead_Cost,Marketing_Cost,IT_Systems_Cost,Total_Cost,Profit,Profit_Margin,Month,MonthName,Quarter,Weekday,YearMonth,Week,Direct_Op_Cost,Service_Cost,Indirect_Cost,Revenue_per_Pax,Cost_per_Pax,Profit_per_Pax,ASK,RASK,CASK,Is_Profitable
EK8960,2024-12-20,DXB,ORD,DXB-ORD,Boeing 777-300ER,396,308,0.7791,14.5,Peak,Long Haul,Medium,410785.49,53431.94,464217.43,131033.88,50750.0,21750.0,65250.0,11600.0,4262.3,5185.86,4460.11,10636.9,78193.6,5100.09,88545.73,25883.92,3769.37,506421.77,-42204.34,-9.09,12,Dec,4,Friday,2024-12,51,280383.88,24545.17,201492.70999999996,1507.1994480519481,1644.2265259740261,-137.02707792207792,5742.0,80.84594740508534,88.19605886450714,False
EK3960,2024-05-13,DXB,HYD,DXB-HYD,Boeing 787-9,296,234,0.791,4.2,Normal,Medium Haul,Medium,145890.17,17695.27,163585.44,21338.76,9240.0,5040.0,13440.0,2520.0,2016.63,5851.01,5425.84,3027.25,21586.21,6022.2,17057.61,8820.56,1937.81,123323.88,40261.57,24.61,5,May,2,Monday,2024-05,20,51578.759999999995,16320.73,55424.39,699.083076923077,527.0251282051282,172.05799145299144,1243.2,131.58416988416988,99.19874517374518,True
EK7529,2024-10-12,DXB,CDG,DXB-CDG,Boeing 787-9,296,251,0.8502,7.5,Shoulder,Long Haul,High,602841.03,78724.16,681565.19,41011.77,16500.0,9000.0,24000.0,4500.0,10764.79,4134.08,3761.85,3431.7,100188.97,6514.22,31347.38,23695.34,3415.99,282266.09,399299.1,58.59,10,Oct,4,Saturday,2024-10,41,95011.76999999999,22092.420000000002,165161.9,2715.3991633466135,1124.56609561753,1590.8330677290835,2220.0,307.01134684684683,127.1468873873874,True
EK4543,2024-06-25,DXB,DEL,DXB-DEL,Boeing 787-9,296,229,0.7748,3.5,Low,Medium Haul,High,126485.16,17543.26,144028.42,17333.86,7700.0,4200.0,11200.0,2100.0,6508.04,6508.73,4440.93,2079.79,22686.82,4791.21,15328.62,6795.49,2245.61,113919.11,30109.31,20.91,6,Jun,2,Tuesday,2024-06,26,42533.86,19537.49,51847.75,628.9450655021834,497.4633624454149,131.48170305676857,1036.0,139.02357142857144,109.96053088803089,True
EK3114,2024-04-20,DXB,RUH,DXB-RUH,Airbus A320,180,142,0.7901,2.2,Shoulder,Short Haul,Medium,32651.15,3871.66,36522.81,5576.8,2530.0,1716.0,3740.0,616.0,4718.58,3360.52,3414.18,1662.49,5133.62,3094.65,8252.23,1492.53,1273.27,46580.86,-10058.06,-27.54,4,Apr,2,Saturday,2024-04,16,14178.8,13155.77,19246.3,257.2028873239436,328.0342253521127,-70.83140845070422,396.00000000000006,92.22931818181816,117.62843434343432,False
EK1737,2024-02-06,DXB,KWI,DXB-KWI,Airbus A320,180,171,0.95,2.0,Peak,Short Haul,High,55561.35,7131.73,62693.08,5169.42,2300.0,1560.0,3400.0,560.0,2723.68,3164.3,5238.84,1290.88,10373.46,4279.57,7369.82,3383.54,2002.31,52815.81,9877.27,15.75,2,Feb,1,Tuesday,2024-02,6,12989.42,12417.7,27408.7,366.62619883040935,308.8643859649123,57.76181286549708,360.0,174.14744444444446,146.71058333333332,True
EK2566,2024-03-27,DXB,IST,DXB-IST,Boeing 787-9,296,281,0.95,5.0,Shoulder,Medium Haul,High,197209.86,25550.13,222759.99,29311.03,11000.0,6000.0,16000.0,3000.0,4846.68,9290.85,5971.44,2336.43,32220.74,5359.55,25593.4,8024.47,3211.83,162166.43,60593.56,27.2,3,Mar,1,Wednesday,2024-03,13,65311.03,22445.4,74409.99,792.740177935943,577.1047330960854,215.63544483985766,1480.0,150.51350675675675,109.57191216216216,True
EK3653,2024-05-15,DXB,DOH,DXB-DOH,Boeing 737-800,189,148,0.7833,1.5,Normal,Short Haul,High,34738.82,4966.19,39705.01,3632.48,1800.0,1200.0,2700.0,450.0,3514.8,4628.11,2816.06,993.41,6653.68,3184.82,5579.27,1500.8,1325.46,39978.91,-273.9,-0.69,5,May,2,Wednesday,2024-05,20,9782.48,11952.38,18244.03,268.2770945945946,270.1277702702703,-1.8506756756756755,283.5,140.05294532627866,141.01908289241624,False
EK8367,2024-12-25,DXB,KWI,DXB-KWI,Airbus A320,180,171,0.95,2.0,Peak,Short Haul,High,57630.63,6379.85,64010.49,4521.15,2300.0,1560.0,3400.0,560.0,2852.17,4760.32,5166.24,886.93,11226.18,2883.92,6750.96,3388.79,1531.66,51788.33,12222.16,19.09,12,Dec,4,Wednesday,2024-12,52,12341.15,13665.66,25781.510000000002,374.330350877193,302.85573099415205,71.47461988304093,360.0,177.80691666666667,143.85647222222224,True
EK8561,2024-12-20,DXB,IST,DXB-IST,Boeing 787-9,296,281,0.95,5.0,Peak,Medium Haul,High,244854.25,25076.13,269930.38,26145.38,11000.0,6000.0,16000.0,3000.0,4839.69,9500.53,3049.7,3245.47,40752.59,6312.4,24894.97,14930.65,3240.82,172912.21,97018.17,35.94,12,Dec,4,Friday,2024-12,51,62145.380000000005,20635.390000000003,90131.43,960.606334519573,615.3459430604981,345.26039145907475,1480.0,182.38539189189189,116.83257432432431,True
EK1538,2024-01-09,DXB,BKK,DXB-BKK,Boeing 777-300ER,396,295,0.7452,6.5,Peak,Long Haul,Medium,613190.73,67407.23,680597.96,59403.3,22750.0,9750.0,29250.0,5200.0,4852.5,9355.81,4997.78,3142.22,81802.34,4722.63,44508.23,24054.68,3223.5,307012.99,373584.97,54.89,1,Jan,1,Tuesday,2024-01,2,126353.3,22348.31,158311.38,2307.1117288135592,1040.722,1266.3897288135593,2574.0,264.41257187257185,119.27466588966588,True
EK8216,2024-11-27,DXB,CDG,DXB-CDG,Boeing 777-300ER,396,338,0.8556,7.5,Shoulder,Long Haul,High,465540.37,65905.93,531446.29,62018.62,26250.0,11250.0,33750.0,6000.0,6912.65,8852.24,4314.49,4098.19,91854.32,7523.02,48274.72,18405.34,2966.84,332470.43,198975.86,37.44,11,Nov,4,Wednesday,2024-11,48,139268.62,24177.569999999996,169024.24,1572.326301775148,983.640325443787,588.685976331361,2970.0,178.93814478114479,111.94290572390572,True
EK4541,2024-06-05,DXB,DEL,DXB-DEL,Boeing 787-9,296,224,0.7601,3.5,Low,Medium Haul,High,111978.94,13531.61,125510.55,18766.55,7700.0,4200.0,11200.0,2100.0,5425.19,7529.4,2259.34,1931.71,19902.26,3708.49,18473.74,6710.34,2153.68,112060.72,13449.83,10.72,6,Jun,2,Wednesday,2024-06,23,43966.55,17145.64,50948.51,560.3149553571428,500.2710714285714,60.043883928571425,1036.0,121.14917953667954,108.16671814671815,True
EK1748,2024-02-20,DXB,KWI,DXB-KWI,Boeing 737-800,189,176,0.9337,2.0,Peak,Short Haul,High,32310.04,3272.75,35582.79,4649.78,2400.0,1600.0,3600.0,600.0,3060.01,3646.37,2460.63,1008.64,6221.85,4344.4,7161.03,1158.26,2409.33,44320.3,-8737.51,-24.56,2,Feb,1,Tuesday,2024-02,8,12849.779999999999,10175.65,21294.869999999995,202.17494318181818,251.81988636363639,-49.644943181818185,378.0,94.13436507936508,117.24947089947091,False
