Route,Flights,Avg_Load_Factor,Total_Revenue,Total_Cost,Total_Profit,Avg_Profit_Margin,Route_Category,Demand_Level
DXB-FRA,325,0.8500492307692308,204892163.83,105400661.26,99491502.54,46.08,Long Haul,High
DXB-SIN,320,0.8497915624999999,203934439.42,112939560.04,90994879.3,42.07275,Long Haul,High
DXB-CDG,323,0.8533674922600619,203985879.45,113807293.43,90178585.87,41.26594427244582,Long Haul,High
DXB-HKG,332,0.8514418674698795,218246464.93,128714586.06,89531878.76,38.66768072289157,Long Haul,High
DXB-JFK,328,0.8514039634146341,213703161.68,172465670.07,41237491.55,15.704176829268294,Long Haul,High
DXB-BKK,212,0.7401033018867925,94959480.92999999,54395532.08,40563948.78,39.9052358490566,Long Haul,Medium
DXB-KUL,216,0.727525,96417780.55,59936258.58,36481521.99,34.48574074074074,Long Haul,Medium
DXB-SYD,327,0.8489547400611621,205355060.09,174228765.69,31126294.37,9.975076452599389,Long Haul,High
DXB-BOM,325,0.8484572307692309,69039624.78,44969269.78,24070355.0,31.15793846153846,Medium Haul,High
DXB-DEL,332,0.8521575301204819,68029997.01,46977768.28,21052229.0,27.43593373493976,Medium Haul,High
DXB-IST,329,0.849009726443769,69810612.45,56301830.98,13508781.5,14.87303951367781,Medium Haul,High
DXB-MEL,212,0.7381301886792453,94517579.01,86769846.8,7747732.31,2.5490566037735847,Long Haul,Medium
DXB-LHE,203,0.7353950738916256,30612679.76,23579050.4,7033629.36,18.720591133004927,Medium Haul,Medium
DXB-KHI,207,0.7305280193236715,18406774.54,12104085.88,6302688.6,30.528019323671497,Medium Haul,Medium
DXB-HYD,209,0.7355794258373205,31251985.47,26843111.65,4408874.0,9.409904306220096,Medium Haul,Medium
DXB-ORD,214,0.736268691588785,95623771.15,91755651.21,3868119.92,-1.6226635514018692,Long Haul,Medium
DXB-CMB,207,0.7352758454106281,31149864.06,27893293.77,3256570.31,4.150772946859903,Medium Haul,Medium
DXB-BLR,199,0.7270693467336684,28890481.83,26480602.3,2409879.55,3.078643216080402,Medium Haul,Medium
DXB-MAA,208,0.7273096153846154,29742132.11,27600564.28,2141567.81,0.7337980769230767,Medium Haul,Medium
DXB-MCT,336,0.8482651785714287,14747165.29,13080220.41,1666944.98,5.468392857142857,Short Haul,High
DXB-BAH,330,0.8515584848484848,14717062.33,13335260.82,1381801.44,4.506787878787879,Short Haul,High
DXB-DOH,338,0.8488860946745562,14789844.81,14143852.51,645992.38,-0.9797337278106508,Short Haul,High
DXB-KWI,341,0.8513293255131964,15174911.77,15804943.1,-630031.24,-10.633431085043988,Short Haul,High
DXB-RUH,216,0.7332157407407407,7278877.32,9690177.44,-2411299.99,-41.197731481481476,Short Haul,Medium
DXB-JED,205,0.7312248780487806,6722705.2,10599638.24,-3876933.27,-68.18848780487805,Short Haul,Medium
DXB-SFO,210,0.7356004761904762,94070676.65,100064878.89,-5994202.11,-12.707809523809523,Long Haul,Medium
DXB-LHR,344,0.8509026162790698,84140583.59,90840162.19,-6699578.75,-13.4425,Medium Haul,High
DXB-LAX,206,0.7350378640776699,87417926.51,95323293.19,-7905366.81,-15.59271844660194,Long Haul,Medium
DXB-AMM,219,0.7394237442922375,12448226.61,20361203.02,-7912976.35,-76.29415525114155,Short Haul,Medium
DXB-CAI,201,0.735168656716418,11678327.290000001,19868547.04,-8190219.81,-83.9581592039801,Short Haul,Medium
